Alameda County	Alpine County	Amador County	Butte County	Calaveras County	Colusa County	Contra Costa County	Del Norte County	El Dorado County	Fresno County	Glenn County	Humboldt County	Imperial County	Inyo County	Kern County	Kings County	Lake County	Lassen County	Los Angeles County	Madera County	Marin County	Mariposa County	Mendocino County	Merced County	Modoc County	Mono County	Monterey County	Napa County	Nevada County	Orange County	Placer County	Plumas County	Riverside County	Sacramento County	San Benito County	San Bernardino County	San Diego County	San Francisco County	San Joaquin County	San Luis Obispo County	San Mateo County	Santa Barbara County	Santa Clara County	Santa Cruz County	Shasta County	Sierra County	Siskiyou County	Solano County	Sonoma County	Stanislaus County	Sutter County	Tehama County	Trinity County	Tulare County	Tuolumne County	Ventura County	Yolo County	Yuba County
Glenn County	221.54460791524428	249.67156558891438	198.5035132907933	68.85084342705886	224.15300625070014	49.29746389777135	191.17448629640018	275.68195565246157	184.79488984862857	396.7762676792596	0.0	178.48460267964006	964.1351295723481	552.7002120921738	573.4287855562023	453.43750487992213	63.780036486153584	195.28081403914024	704.6882651193295	352.35829358914975	174.9927462086025	312.82183261405385	91.29328284721198	305.08101287209985	263.00986846289	358.6719939403164	385.82390936201466	121.98375306287643	144.03464956629236	777.2669698768901	156.40970165911946	141.5500969418526	866.8013744422174	157.56608357326866	352.03973157242297	762.3280925861919	887.932202544797	215.5890812338842	209.68667483002088	499.59386956927557	243.2945986821637	600.9031992359188	271.98783701117475	290.0499814492236	132.30568766661963	161.09410165948083	221.05014069744496	153.76577536276332	128.0668736842898	257.3848254780191	86.99827711015514	59.991700159726584	131.07695718912677	491.44118317823774	274.7404111094715	651.2410578168012	111.29322273655781	98.04574151158126
Humboldt County	381.89525748567553	422.52007040999115	376.75681570731723	228.84044815571005	402.63702531198646	222.7603402056653	353.3994233832348	117.74485870663712	360.13096024333026	574.0709166614336	178.48460267964006	0.0	1142.4071778684242	729.9311641028125	749.6217064076861	627.424476060371	205.53185797127148	277.80441373342774	879.3383871352917	530.5174342161891	312.13727769409394	491.26625090649435	147.53886479585614	478.69224767865893	286.07203942539303	533.8332446843868	546.1120984275149	280.3677140174645	311.0369978417782	952.2488346817993	328.8310155548862	274.57725245850787	1045.0909686542918	334.74095962970415	517.8815488197667	940.7159243909143	1064.2527637075004	340.1233904766648	383.49596744250596	665.3712867474235	389.8663584169985	766.4530117637137	433.08842362974485	443.07191650714503	158.73608947960338	315.4274754363097	152.3323644941104	320.35517883974734	257.24497576528285	431.00496646515995	265.43955204800557	157.257175679876	68.76208453535709	669.4902922436221	452.82361160559975	822.3822885024806	284.211560770121	271.82478759793173
Imperial County	784.5064581422313	738.3692225755692	767.5224164722673	924.447663808126	740.3415620193663	920.2104493247248	806.4353768590167	1233.2427559962211	790.6053080168067	569.8343158106469	964.1351295723481	1142.4071778684242	0.0	433.88577761321983	402.4963400951983	529.4751455813368	945.1121011748423	973.8956746146064	298.2124756666498	611.8990934231668	869.8449601114311	651.4755552263117	1014.6475090443731	671.836656066627	1062.0849048494877	628.6984748977819	650.836946431773	874.0514485977477	848.3499224751409	235.73711410353286	824.9130005110561	914.0607397580362	97.34743497784054	808.0089238121564	656.3765382100626	215.85841561489116	132.4547145831204	868.8944126211603	763.2921471719812	535.8034702309917	801.2545032038968	463.7238705721567	739.9124356463635	749.2617010955239	1043.5186325430018	861.3228336304886	1141.9129567210746	831.1894500808946	914.9494376969402	717.6460404019225	877.147045098603	998.1501567321656	1090.8939797227001	473.0977161266239	693.0945941308735	378.92420233223544	860.457813983562	876.3911824652353
Inyo County	417.5875018095975	311.3700358900497	354.8731833550539	503.8798646991147	332.1990412789853	514.286495085251	429.8744611248955	810.8832958633145	370.13939187942907	202.0040911294939	552.7002120921738	729.9311641028125	433.88577761321983	0.0	180.27134514508535	222.8115746516264	547.1303794618643	540.6236636475013	274.2954762555349	220.71430249403676	500.5821793868419	249.22537161832304	617.7620238423013	303.4533535665182	628.1993225332367	199.0555399958877	351.88766413000553	484.81308083711554	423.90576687832896	322.73060966991744	402.78090718214975	484.30469162995945	339.71881153095774	405.7118716336385	328.71570245701696	219.35941491364514	397.6005906054857	515.323640655322	374.8500077729968	303.5208739258933	451.22633548991996	327.9524083476598	388.15733681308257	412.93903490509916	616.4345757848664	432.24871111263644	712.7139934816296	443.1187211246789	533.441165222171	338.12611539003785	467.2721668317049	578.0766221766631	672.5025416697082	128.7050998197869	278.64593254513	290.7568676380077	460.80543784421644	458.3445837307694
Kern County	382.5606603879756	376.3428133772541	384.51142452624566	542.9413667455134	355.17292452004364	527.017584427432	405.53788622153587	847.8299267810378	414.54413738043434	177.92071081838708	573.4287855562023	749.6217064076861	402.4963400951983	180.27134514508535	0.0	126.99891003746116	547.8060962374449	620.3112612651472	134.8432975339123	226.46273024553676	467.57388710453023	268.9227139039058	616.088191097142	272.31890712635516	715.7517729806102	285.97823407261524	253.51251502041941	474.9912440504082	474.9343785791501	205.2655180985691	449.23399209947377	548.4456935533416	307.7520670862649	415.8674068011177	254.33381401485354	238.1185981520524	314.6370150740227	466.65399631880297	366.44019555587755	155.84259082111654	398.92547374081465	149.5693874103049	337.42061309432876	347.6094933774592	668.1422129918953	496.2480622084795	768.7557279319152	432.5365975035991	513.7333982289998	319.4108834357969	487.5058991566916	614.1349309938868	703.4064186979533	98.20685978087504	317.15605182777745	115.8579907565941	465.45682998305233	493.71354988473706
Kings County	255.84352307372504	283.47385877079785	273.8876449318406	429.2163544519495	243.91172101857236	405.8206725691791	279.5617755103557	729.0110237689579	308.2857193880783	77.89630684139485	453.43750487992213	627.424476060371	529.4751455813368	222.8115746516264	126.99891003746116	0.0	423.8022509011952	521.7438356933549	251.9417572655185	126.60268633338413	340.63030499212505	166.7453196670094	491.10998526218947	148.7535961153413	618.7950782109777	221.32910081902511	135.95606394848005	350.1200043498574	368.3315183410619	324.94741907570165	341.89808552645604	444.7198481385309	434.4338996459315	296.80976134914584	128.5135577641893	355.7716112024696	438.60252996883673	340.0702549034581	244.17096635441231	95.3649440570648	272.2755187887759	171.94135754066272	210.4399581731204	221.93929825316368	556.1976490001836	394.5817649079671	656.8283254596458	308.16421459509405	387.3576628343115	196.50087994855957	369.1837395616308	497.83555043644395	584.3197180466072	94.49447857220802	217.1181300195578	200.38677129043444	343.5535262958479	380.15118366005726
Lake County	176.6380689688557	260.64391115934905	195.35659844315444	117.11125113256568	215.12821701329773	44.87473570184531	147.87560037195448	315.2759413751635	194.41544148952187	375.2902518812706	63.780036486153584	205.53185797127148	945.1121011748423	547.1303794618643	547.8060962374449	423.8022509011952	0.0	255.52331457489638	675.6376085945057	335.53177958350756	115.97466054566372	299.71820178337674	70.71574803839592	275.59455413582526	326.6433473901043	361.4576658380278	341.495961528137	74.83697699080906	171.7126824475367	748.7113794781525	174.747045913603	192.68749675627603	848.110789119288	141.43295652039677	312.35600863620783	749.4228845099979	861.9783738771948	154.086553774802	181.90176565134823	459.9229747765679	189.6722721923721	561.0859037447776	227.92070667197905	240.42420156567644	194.68091527852087	198.69856580745602	277.81886801157316	115.65812282753522	65.2173011392824	228.41572487570164	90.2663312212849	122.85800368615948	175.51357250469763	472.5749260852444	269.72624925281013	617.1574637044909	86.43939223109889	122.44394874083689
Lassen County	359.2250344852703	244.03814682766358	253.25874183876516	143.45780992551659	282.1835632918846	219.60473796290793	331.6083076253643	304.951054666783	215.37044062047224	448.37636269500564	195.28081403914024	277.80441373342774	973.8956746146064	540.6236636475013	620.3112612651472	521.7438356933549	255.52331457489638	0.0	754.9337057664313	397.77430249428494	348.0609736449605	355.79267639830033	278.9330168189374	392.18654031017616	97.22551436611762	346.51526883585603	501.8183155174302	285.83686593432583	158.75196155631903	823.0155689412474	184.64803145240117	82.69527756059546	878.4201264685187	259.7646514216183	458.75825871244723	759.9799658979454	921.7527586890782	391.9340045782396	314.68506482045774	593.5352692292495	397.1881746417574	689.5873992699941	399.8621058860382	429.25279459357023	119.17413409561964	127.55533322279352	186.23265817284403	295.08224353619954	313.4967503410235	352.7071063523824	208.56071097855025	150.90475901195052	209.64741291274447	524.7682640756035	305.5822333639134	719.6299037743947	251.75012945958218	172.43027125099286
Los Angeles County	505.1697970203215	510.9052371793075	518.555569475748	676.6385893537723	489.0144830381819	657.4579525647533	530.3586598528038	979.9035425135612	549.1887008866458	311.8164250511476	704.6882651193295	879.3383871352917	298.2124756666498	274.2954762555349	134.8432975339123	251.9417572655185	675.6376085945057	754.9337057664313	0.0	360.99471507681335	588.0517422654133	403.5220202288244	742.4600356580537	400.64624459462016	850.1249167981779	417.2378751515982	358.56617944456957	601.6953438615781	609.6211710879921	73.15417654154234	583.8322423614173	683.2862438885028	214.74863210585812	547.4314723569911	370.8443984589404	204.27544600225607	189.56586663215222	581.628931968234	495.94209447403375	239.3874825698976	515.0733049568181	167.5394282846628	457.0223373441527	461.12497004773263	802.3441839963641	631.0864386434877	903.0227337664974	559.9798224056804	637.0840604864284	448.3477477974479	619.5427427274608	747.1456686804194	835.267272946345	230.86499695284866	451.9729415035428	82.06521087775822	595.3306558593035	627.3804296720971
Madera County	197.05658557478446	157.06073543633337	158.50423645834698	317.17323302337894	129.73349101580794	308.4364850499919	209.48506068178213	624.0678703719408	188.21714586368526	50.61110322745946	352.35829358914975	530.5174342161891	611.8990934231668	220.71430249403676	226.46273024553676	126.60268633338413	335.53177958350756	397.77430249428494	360.99471507681335	0.0	279.95125809994516	42.5651499820104	405.9844004507842	86.19180920231328	494.42192722892185	110.02773590113875	176.34850484704947	268.23005036165824	248.68265326226484	431.66852690652905	222.83792676354255	323.17363880122787	514.5970600900663	196.29184825523984	136.14719617662615	413.95016029808033	538.2811400977901	295.3285015154945	156.53642975522826	212.30132978973708	232.97076137183507	298.34508171160974	171.86506716283964	201.3675264123811	441.7555175270258	271.6734608594443	542.3261895018732	225.60686275147626	314.8259199187822	117.43929960193225	265.4332674027064	389.329629527636	480.38291699873776	139.117213346692	92.21138581043026	321.8660406012944	249.6677099283281	268.085189673235
