source_zipcode,target_zipcode,lag_1_corr,lag_2_corr,lag_3_corr,lag_4_corr,lag_5_corr,lag_6_corr
6083,32013,0.6901300267912875,0.6260802212456055,0.5671831235685094,0.5484888615912257,0.5643078152972961,0.5750807244397002
6085,32013,0.646604335016314,0.6281227278510365,0.6068204752030055,0.5910966186632934,0.5813621334475305,0.5622739297494743
6087,32013,0.6978535298223794,0.607098224538843,0.5141493576564159,0.4600695330211601,0.4609161630491087,0.4741894285281744
6089,32013,0.750408754521923,0.6913854879207043,0.6347246602806005,0.6017259011795345,0.5903571390846238,0.5790491167850061
6091,32013,0.6598750779838248,0.5697903456722936,0.46192667693087747,0.3770879903444205,0.3490335726851089,0.3474796932717483
6093,32013,0.6503227356343806,0.5658451762781845,0.483215934769333,0.44760469282520243,0.45336700140085934,0.4641805266005962
6095,32013,0.7022485057379856,0.6703395679846246,0.6398049730811717,0.6223271362727406,0.6165988040419904,0.6030127050492907
6097,32013,0.7019730118121512,0.6619421407226128,0.6244891903032125,0.6020007401721315,0.5936788415749122,0.5770856550099708
6099,32013,0.6560167764784935,0.6163921628882714,0.5783034021732153,0.545498600331029,0.5122899175883839,0.4744123069420038
6101,32013,0.6197863666330036,0.5598218552619081,0.49728512810213804,0.4405237788921804,0.4048439572442125,0.37085315044148803
6103,32013,0.7218430802693881,0.6669158867585694,0.6144812357450906,0.5884315344429683,0.5825453163662083,0.5684117167752863
6105,32013,0.5712426274712831,0.48149413791509454,0.3913029713721632,0.334844116471138,0.3197893753678191,0.3210952177492947
6107,32013,0.5952045554442771,0.5338992747079107,0.4625206613795418,0.4371291444780564,0.44790950202708957,0.4603187273121439
6109,32013,0.7209513512392063,0.6614655509063652,0.6035429634081986,0.5636414680168823,0.5471512385687997,0.5387133625624604
6111,32013,0.6489563164401297,0.6124931806963758,0.5902141181865139,0.5953891347573785,0.6199099722392367,0.6269469943055501
6113,32013,0.7405303411285294,0.6716452562972873,0.6071661014216398,0.5789477874226343,0.5762718228166028,0.5701832118190265
6115,32013,0.6834032645059211,0.626873630169479,0.5709782148171356,0.5339111960859615,0.5209389461137159,0.5026359869559028
32001,32013,0.8259134518480269,0.7687573667408237,0.7261032671701817,0.7011999138440185,0.6977950953622569,0.6970051577246824
32003,32013,0.6143798881498802,0.5777539538375174,0.5504567257320422,0.5244597997701156,0.5093734615326803,0.4861881637731498
32005,32013,0.7563868223698046,0.7021670881274085,0.6627954432652365,0.6319678328879108,0.6104324201872791,0.5914184953516226
32007,32013,0.7857500171405142,0.6851451420510434,0.6119759476621652,0.5631576188170812,0.5463274931698445,0.5274464503242516
32009,32013,0.4812200807860776,0.47376153048355935,0.47724450806024227,0.47091853025324326,0.4660875278762103,0.45267179957378506
32011,32013,0.5540168350156294,0.5010710782792915,0.4547388641546224,0.41164510353194933,0.39021912758032656,0.3766195004607242
32015,32013,0.6356828335386947,0.5901732270282085,0.553470013526376,0.5283203408570625,0.5253138626992934,0.5171167637230228
32017,32013,0.52491799060788,0.5035933911712273,0.4951722046440381,0.4866307421003488,0.49378948637712144,0.49519969381962897
32019,32013,0.8007620767032064,0.7439728290778592,0.6982310467028037,0.6657574326020048,0.6558967220272,0.6467959227731597
32021,32013,0.7413816317355204,0.7156025852580368,0.6965373625953639,0.6852622999804533,0.683745689140466,0.6789063519405069
32023,32013,0.7030633313080361,0.674346514357733,0.6548505759487896,0.6375572626936146,0.6268567747442336,0.6128799844004608
32027,32013,0.7428888463795803,0.69503630404629,0.6578902814175738,0.6258639520429938,0.6079840189383051,0.587159063293077
32029,32013,0.7184848695866244,0.6718195278477843,0.6372968827245562,0.615909633865379,0.6062156614889719,0.6033999064793135
32031,32013,0.7741666637478819,0.7223549245186838,0.6821667489480022,0.6506508552883504,0.6351582276240822,0.6201345091064179
32033,32013,0.5544776576743904,0.5143692600640453,0.4817700812419278,0.46186179983337655,0.45794078091184204,0.4469401687327409
32510,32013,0.7562717684208519,0.6961507831486176,0.6492980982568917,0.6150140114885462,0.6036817584055006,0.5929276409978333
4001,32015,0.7097030027752664,0.686543282337979,0.6838912477652972,0.7027645774478642,0.7323314233486623,0.7116070471009206
4003,32015,0.7693638185130307,0.7401757553201727,0.7121186989834772,0.6948884519066794,0.6874025532662181,0.6761349969787251
4005,32015,0.6615984476050197,0.6089012419066276,0.5738740923007503,0.5659888622375515,0.5695501090322768,0.5459980543513689
4007,32015,0.6797548619698726,0.6379406859455694,0.5983648016787944,0.5700930660563129,0.5602895077951644,0.5440503032717006
4009,32015,0.672814812730824,0.6437587301632347,0.6158557588980942,0.5993758885986651,0.5913052898599399,0.5721334499297143
4011,32015,0.5962910654711467,0.5707796931929241,0.5417846127138295,0.5159377679013072,0.4964889343299989,0.47181397878940745
4012,32015,0.7415087961104724,0.702916568848468,0.6714748610076168,0.6608143235426158,0.6633937248509804,0.6577993464300176
4013,32015,0.24948881918526294,0.22885960081684864,0.21179482608965694,0.19705474488186359,0.18650969075258989,0.1686070964029933
4015,32015,0.49710740636653733,0.4539847493288953,0.4202602550292804,0.3978899649274383,0.3833938518480085,0.37079204584015674
4017,32015,0.7531141646067299,0.7189046185075993,0.6960501538395178,0.6915778083403042,0.7039993400560508,0.6838163960833571
4019,32015,0.11901966445360099,0.09940622556754224,0.08605021520799151,0.07641488145827215,0.07101269106706726,0.057489137677361205
4021,32015,0.3158404708198704,0.28630551243705066,0.26316517304015835,0.24904128351112997,0.24700443987182882,0.23140612657829773
4023,32015,0.5651921198019539,0.5767581591729414,0.607312136554673,0.6516098648467895,0.7103510817412426,0.742701874156096
4025,32015,0.3508756081852369,0.3138290121621569,0.2837274004451586,0.26067899797145405,0.24717022612921613,0.2319800236703495
4027,32015,0.5975586332536243,0.6506523943011305,0.7161724692203334,0.7546784397134891,0.7628933492366267,0.7428323851912989
6001,32015,0.35879884007386376,0.34220286022902396,0.3271853673809146,0.3123886737704957,0.2987735902814762,0.2775368112805773
6003,32015,0.3291535855425039,0.37721721091948535,0.439468075765645,0.48306666303640877,0.4517684736348506,0.386601860948217
6005,32015,0.519160359606313,0.47666517033876243,0.4322861171488322,0.39667461396751275,0.3720940423868767,0.3555216066984189
6007,32015,0.6736075329435738,0.6285942725756469,0.584635767985449,0.5490225411366362,0.5262078350422053,0.4920438661775893
6009,32015,0.7024777503880377,0.6588158741099215,0.6145366126828894,0.5788427084099776,0.5521819893756015,0.532983311855093
6011,32015,0.5070492669675968,0.3970316823513159,0.28657241286937885,0.2342122591015654,0.22023950913686496,0.22032287084411564
6013,32015,0.3530472870981851,0.3325503783198843,0.3139303152727958,0.296860652388423,0.2824637777090726,0.26221226207600734
6015,32015,0.7229406921065679,0.675845971640691,0.6252918530891963,0.5927650729666033,0.5717279061936937,0.5532990680609838
6017,32015,0.5189259870072412,0.4819883020669259,0.4443712313379752,0.41295694927607285,0.38112645171893234,0.3561860329463719
6019,32015,0.7868808505398597,0.7297146627700236,0.6644737589895322,0.616695269585593,0.5810850448575311,0.5589598565397407
6021,32015,0.7525358195978633,0.7027631434446485,0.6556200744025978,0.6319226628407942,0.6178575201706653,0.586469935557623
6023,32015,0.6401477035788085,0.5886814962878739,0.536024691762396,0.49433193287523003,0.46823439706889763,0.44643022507599533
6025,32015,0.567294212858567,0.5715673528522719,0.5934991928243832,0.6086977987371517,0.6359365542051162,0.6548041404497202
6027,32015,0.7285252990391488,0.678359979575671,0.6365176164186771,0.6039263284773275,0.584141696863668,0.566615463741244
6029,32015,0.7701892649387476,0.7209445617160392,0.6531270379670048,0.6057351891123437,0.5734797475802216,0.5495473002102129
6031,32015,0.7714119921451784,0.7042260752366887,0.6246806156519619,0.572519664663645,0.5425123755162824,0.5235419590339193
