County,Ensemble_RMSE,Ensemble_MAE,AR_Weight,SARIMA_Weight,GAT_Weight,AR_Order,SARIMA_Order,SARIMA_Seasonal_Order,AR_RMSE,SARIMA_RMSE,GAT_RMSE
Lassen County,0.9825084047344185,0.7968965001852183,0.8252594908775019,0.0,0.17474050912249794,6,"(1, 0, 1)","(1, 1, 1, 12)",1.1039735559131727,,1.6954944
Los Angeles County,0.7178399812082994,0.6371113692697222,0.872200967368555,0.0,0.12779903263144501,10,"(1, 1, 1)","(0, 1, 0, 12)",0.6171177106274588,,2.0561411
Madera County,0.6560070252153785,0.6204428070416027,0.7117840030608559,0.0,0.2882159969391442,14,"(1, 0, 1)","(1, 1, 1, 12)",0.27142608703883764,,1.8911896
Marin County,0.2817506190977699,0.23257698258075474,0.9496887315196902,0.0,0.0503112684803098,14,"(1, 1, 0)","(1, 0, 0, 12)",0.20068584141233997,,3.312761
Mariposa County,0.5067395604655455,0.4620104152052275,0.9167591052153686,0.0,0.08324089478463131,14,"(1, 1, 0)","(1, 0, 0, 12)",0.4751271597799909,,1.5936245
Mendocino County,0.551053427795127,0.4661663456267706,0.8956139160832775,0.0,0.10438608391672252,4,"(1, 0, 1)","(1, 1, 1, 12)",0.5870459803997748,,1.7990001
Merced County,0.9503467601273854,0.8748960267931066,0.8314541581205899,0.0,0.16854584187941013,14,"(1, 0, 0)","(0, 1, 1, 12)",0.3799002423780687,,4.027834
Modoc County,2.3162261738979972,1.8772515172666473,0.78173144381293,0.0,0.21826855618706995,4,"(1, 0, 1)","(1, 1, 1, 12)",2.3554067082000687,,2.62945
Mono County,0.6797905557647973,0.6374985969273202,0.940162527634059,0.0,0.059837472365940926,12,"(0, 1, 0)","(0, 0, 1, 12)",0.5493718438124148,,3.012651
Monterey County,1.761805498516428,1.6527697820412277,0.6896881761714875,0.0,0.3103118238285125,4,"(1, 0, 1)","(0, 1, 1, 12)",1.4039291845409372,,3.3665724
Napa County,0.38885347359939654,0.33898834175747444,0.9428541207437382,0.0,0.05714587925626178,4,"(0, 0, 0)","(1, 1, 1, 12)",0.4298368359379274,,2.9617472
Nevada County,0.23310283761576392,0.2023057652828079,0.9464146811812072,0.0,0.053585318818792756,14,"(1, 1, 1)","(0, 1, 0, 12)",0.2550549374395829,,2.6873024
Orange County,0.39225674853634485,0.3375527774028286,0.9431488266767978,0.0,0.05685117332320219,14,"(1, 1, 1)","(0, 1, 0, 12)",0.2592117419662591,,3.1600394
Placer County,0.2548062024809132,0.2230435395306789,0.9543071285468723,0.0,0.04569287145312771,14,"(1, 1, 0)","(0, 1, 0, 12)",0.2215508705279231,,2.900331
Plumas County,2.0581503651067474,1.745465973646802,0.6922172747076416,0.0,0.3077827252923585,4,"(0, 0, 0)","(1, 1, 1, 12)",1.5864884827684977,,3.8162417
Riverside County,0.5685942453007999,0.5141283142331975,0.8671632141696773,0.0,0.13283678583032263,10,"(0, 1, 0)","(0, 0, 1, 12)",0.391242316496472,,1.9154402
Sacramento County,0.3170963015204777,0.27112277217460284,0.941536011104239,0.0,0.058463988895761,14,"(1, 1, 1)","(0, 1, 0, 12)",0.2483998462797411,,2.2377114
San Benito County,0.533539016037843,0.4550309942920549,0.8433706902292997,0.0,0.15662930977070033,14,"(1, 1, 1)","(0, 1, 1, 12)",0.4811027597541279,,1.2562991
San Bernardino County,0.5109331318806678,0.4528973192045716,0.9044101196942944,0.0,0.09558988030570553,14,"(0, 1, 0)","(0, 0, 1, 12)",0.3766932832666127,,2.043989
San Diego County,0.3429663232190767,0.27550572498762776,0.9389054103331976,0.0,0.061094589666802375,14,"(1, 1, 1)","(0, 1, 0, 12)",0.26096402171485605,,2.68751
San Francisco County,0.4456164708905294,0.4040262302113184,0.9440587988890501,0.0,0.055941201110949856,10,"(0, 1, 0)","(1, 0, 0, 12)",0.3020712606667027,,3.3646197
San Joaquin County,0.3353518603659903,0.28195116165561496,0.865449210094721,0.0,0.134550789905279,14,"(1, 0, 1)","(1, 1, 1, 12)",0.29910821208142574,,1.0408429
San Luis Obispo County,0.32525769239962193,0.28086681430653515,0.9507905680866873,0.0,0.04920943191331268,14,"(1, 1, 1)","(0, 1, 0, 12)",0.2590400047666361,,3.2184763
San Mateo County,0.32825326861211795,0.28161294206940096,0.9451577597323737,0.0,0.0548422402676263,6,"(1, 1, 0)","(1, 0, 0, 12)",0.19489906691349435,,3.5907257
Santa Barbara County,0.5308737725148567,0.4715739307038375,0.9419479085245827,0.0,0.05805209147541739,14,"(0, 0, 1)","(1, 1, 1, 12)",0.5762862635704291,,2.3682017
Santa Clara County,0.41644917570487683,0.353244412676114,0.9377890747765224,0.0,0.06221092522347761,6,"(0, 1, 0)","(1, 0, 0, 12)",0.28627225560426617,,3.0382988
Santa Cruz County,0.3673127504487987,0.30978176260685064,0.8881392948013,0.0,0.11186070519869999,14,"(0, 1, 1)","(0, 1, 0, 12)",0.29649386996221094,,1.3742665
Shasta County,0.34489402703587985,0.2887414944519846,0.9322144970364981,0.0,0.06778550296350193,14,"(1, 0, 1)","(0, 1, 1, 12)",0.3256018663610743,,1.5515043
Sierra County,0.7330631446416175,0.6439757238583285,0.8052659989941462,0.0,0.1947340010058538,6,"(1, 0, 0)","(1, 1, 1, 12)",0.6013799071318406,,1.9709264
Siskiyou County,0.5998269145720567,0.5056096763958388,0.8318722364582942,0.0,0.1681277635417058,14,"(1, 0, 1)","(0, 1, 1, 12)",0.4052546996424108,,1.7569953
Solano County,0.27514756233184895,0.22566128860034432,0.958624379092645,0.0,0.04137562090735508,14,"(1, 1, 1)","(0, 1, 0, 12)",0.2891199745480165,,1.9416279
Sonoma County,0.2384486050684653,0.20921177014718584,0.9740942983553565,0.0,0.025905701644643453,14,"(1, 1, 1)","(0, 1, 0, 12)",0.2501828219563847,,3.0002239
Stanislaus County,0.39326620427466885,0.3195109583990942,0.8041212603837571,0.0,0.19587873961624297,14,"(1, 0, 1)","(1, 1, 1, 12)",0.25025558525330327,,1.1359136
Sutter County,1.728195347253454,1.5350455685840998,0.5407943237082847,0.0,0.45920567629171527,6,"(1, 0, 1)","(0, 1, 1, 12)",0.9924465328530958,,2.7801692
Tehama County,0.3235493680969752,0.26445236082293916,0.8663134638994894,0.0,0.13368653610051065,14,"(1, 1, 1)","(0, 1, 1, 12)",0.2680657067796159,,1.2628998
Trinity County,0.7811243474691852,0.6650572339784798,0.8154016864239255,0.0,0.18459831357607448,6,"(1, 0, 0)","(1, 1, 1, 12)",0.8077730016614441,,1.4631603
Tulare County,0.9976397443298598,0.8855760861460139,0.8738165265226564,0.0,0.12618347347734363,14,"(1, 0, 0)","(0, 1, 1, 12)",0.5463369367701594,,4.6203747
Tuolumne County,0.33258014312253753,0.3029566364624518,0.9026525530182654,0.0,0.09734744698173459,14,"(0, 1, 1)","(1, 0, 1, 12)",0.28089061542140403,,1.6746902
Ventura County,0.37889648417510824,0.2975592235755289,0.908080429936828,0.0,0.09191957006317199,10,"(1, 1, 1)","(0, 1, 0, 12)",0.28746160970678203,,2.3476143
